train Fold, KMEANS-DISTORTION, KMETROIDS-DISTORTION
0,9.1354309831348091E18,2.4550555554913995E8
1,3.5953041679838867E19,1.685149484528821E9
2,8.236391968265929E19,3.088367739878928E8
3,1.6958364282106573E19,8.755223639393985E8
4,8.740366363483752E19,1.798256845993947E9
5,3.901470133422408E19,1.6546274127657055E10
6,1.0707663965935231E20,6.644762733692691E8
7,1.284365512979832E19,1.3137231718111944E9
8,2.8267748237970354E19,1.2744947206130445E9
9,9.920272928195779E18,6.269409579469202E9
