train Fold, KMEANS-DISTORTION, KMETROIDS-DISTORTION
0,1.564981350204342E22,3.3458822651034217E7
1,2.587230052353483E22,9832418.216864865
2,2.5451464545509885E22,1.607411855582192E8
3,2.953113953568289E22,3143843.668158352
4,2.9626504726724552E22,2114695.315038593
5,2.3830093720777994E22,1759744.928314953
6,1.4119452275664908E22,1.7430882448437595E8
7,1.7275606090441306E22,1.0897696361645085E8
8,2.2884653966837993E22,3155156.441846287
9,2.1688974428657745E22,9016294.825486254
