train Fold, test Fold, KNN-ACC, KNN-PREC, KNN-RECALL, KNN-FSCORE, CKNN-ACC, CKNN-PREC, CKNN-RECALL, CKNN-FSCORE, EKNN-ACC, EKNN-PREC, EKNN-RECALL, EKNN-FSCORE
0,0,0.9748427672955975,0.7794871794871795,0.7660714285714285,0.7727210783587616,0.8867924528301887,0.730509835407467,0.5725,0.6419243652754061,0.9748427672955975,0.7794871794871795,0.7660714285714285,0.7727210783587616
0,1,0.8736842105263158,0.4588176477940257,0.47787041099897615,0.4681502574238916,0.8526315789473684,0.49192436040044496,0.47166886061137925,0.48158371710714265,0.8842105263157894,0.5044778567523236,0.48764077811905804,0.49591644781962946
0,2,0.8427672955974843,0.4296409472880061,0.3828095238095238,0.4048755026708591,0.7924528301886793,0.27831552482715277,0.3228,0.29891176555467586,0.8301886792452831,0.42363858363858364,0.3796095238095238,0.4004173542675248
0,3,0.8522727272727273,0.5227929885557004,0.5169440627067746,0.5198520743883273,0.7954545454545454,0.3998671326937855,0.39720822517432686,0.3985332441029406,0.8409090909090909,0.5026474880133417,0.49858248078587064,0.5006067324074194
0,4,0.8769230769230769,0.4322966507177034,0.5602898550724638,0.4880409442723918,0.7692307692307693,0.28181818181818186,0.30724637681159417,0.29398344889286515,0.8615384615384616,0.4253488372093023,0.5559420289855073,0.48195556227223857
0,5,0.8604651162790697,0.5171479300999907,0.5043790849673202,0.5106837037675205,0.8081395348837209,0.46805863123484126,0.4034640522875817,0.4333675660693901,0.8488372093023255,0.48580745341614906,0.48049019607843146,0.4831341950803288
0,6,0.8563218390804598,0.6067049808429119,0.5369047619047619,0.5696747432445908,0.8563218390804598,0.6312470365101944,0.47321428571428575,0.5409245384705611,0.867816091954023,0.6375,0.55,0.5905263157894737
0,7,0.8636363636363636,0.6046106442577031,0.5105126555126555,0.5535914918373264,0.8068181818181818,0.48690801823545193,0.44859073359073365,0.46696465316510505,0.8636363636363636,0.5443270189431705,0.475918060918061,0.5078290784719642
0,8,0.7878787878787878,0.44934749874518987,0.4749935290158927,0.4618147367112432,0.7828282828282829,0.43744047619047616,0.4806905834239271,0.45804684529799305,0.7828282828282829,0.42651549508692366,0.4583799244189056,0.44187400249086334
0,9,0.8106508875739645,0.4102380952380952,0.37956140350877193,0.3943039909455357,0.8165680473372781,0.4143415906127771,0.40543859649122804,0.4098417493095,0.7988165680473372,0.4059496567505721,0.3825438596491228,0.3938993670504214
1,0,0.8553459119496856,0.39083610188261353,0.38357142857142856,0.3871696904819787,0.8113207547169812,0.40425210446794735,0.36678571428571427,0.38460862303344734,0.8490566037735849,0.38767403767403763,0.3817857142857143,0.3847073456576355
1,1,0.9526315789473684,0.7739202657807309,0.6173614158256545,0.6868321740093642,0.868421052631579,0.336431746031746,0.3580810296913851,0.34691896319541204,0.9578947368421052,0.7758223684210527,0.6211350007313149,0.6899142923294472
1,2,0.8490566037735849,0.4447826086956522,0.43158095238095234,0.43808234479200236,0.8050314465408805,0.478989898989899,0.3866761904761905,0.42791092702319555,0.8364779874213837,0.42330827067669174,0.40140952380952377,0.41206815832759114
1,3,0.7954545454545454,0.3895935233597571,0.37867613376087955,0.38405725853360373,0.8295454545454546,0.42833333333333334,0.40368758589097575,0.4156454370189974,0.7784090909090909,0.34667309546769526,0.33993739502214076,0.3432722063814571
1,4,0.8307692307692308,0.30887949260042286,0.3515942028985507,0.3288556069156072,0.8,0.2985772357723577,0.3428985507246377,0.319206752868417,0.8,0.29513742071881605,0.3339130434782609,0.3133301380592217
1,5,0.813953488372093,0.4242768595041322,0.37983660130718955,0.4008287093334739,0.8023255813953488,0.3895937277263008,0.35173202614379084,0.3696960223240739,0.7965116279069767,0.4162925170068027,0.37062091503267974,0.3921313509020837
1,6,0.8333333333333334,0.3896686159844055,0.4101190476190476,0.3996323748094051,0.8620689655172413,0.5336441570160926,0.4166666666666667,0.46795580256226965,0.8333333333333334,0.40051036682615626,0.4101190476190476,0.4052577596551103
1,7,0.8352272727272727,0.5916219667943806,0.4557507507507507,0.5148733607633926,0.8409090909090909,0.5776402364224379,0.43470184470184475,0.4960798943929634,0.8181818181818182,0.5525641025641026,0.40493993993994,0.4673719683106818
