train Fold, test Fold, KMEANS-DISTORTION, KMEANS-ACC, KMEANS-PREC, KMEANS-RECALL, KMEANS-FSCORE, KMETROIDS-DISTORTION, KMETROIDS-ACC, KMETROIDS-PREC, KMETROIDS-RECALL, KMETROIDS-FSCORE
0,0,1.3054725011400048E15,0.25,0.03125,0.125,0.05,5.0299274534928155E8,0.375,0.09166666666666667,0.25,0.13414634146341464
0,1,1.3054725011400048E15,0.24,0.03,0.125,0.04838709677419355,5.0299274534928155E8,0.2,0.05438311688311688,0.14583333333333331,0.07922297297297297
0,2,1.3054725011400048E15,0.08333333333333333,0.010416666666666666,0.125,0.019230769230769232,5.0299274534928155E8,0.2916666666666667,0.07080419580419581,0.22916666666666669,0.10818358426420593
0,3,1.3054725011400048E15,0.2,0.025,0.125,0.04166666666666667,5.0299274534928155E8,0.28,0.07083333333333333,0.175,0.10084745762711864
0,4,1.3054725011400048E15,0.21428571428571427,0.026785714285714284,0.125,0.04411764705882353,5.0299274534928155E8,0.14285714285714285,0.03571428571428571,0.08333333333333333,0.05
0,5,1.3054725011400048E15,0.037037037037037035,0.004629629629629629,0.125,0.008928571428571428,5.0299274534928155E8,0.18518518518518517,0.053267045454545456,0.19642857142857142,0.0838073953677367
0,6,1.3054725011400048E15,0.047619047619047616,0.005952380952380952,0.125,0.011363636363636362,5.0299274534928155E8,0.09523809523809523,0.023863636363636365,0.25,0.04356846473029046
0,7,1.3054725011400048E15,0.2222222222222222,0.027777777777777776,0.125,0.04545454545454545,5.0299274534928155E8,0.1111111111111111,0.027777777777777776,0.0625,0.03846153846153846
0,8,1.3054725011400048E15,0.1,0.0125,0.125,0.022727272727272728,5.0299274534928155E8,0.25,0.06439393939393939,0.25,0.10240963855421686
0,9,1.3054725011400048E15,0.11764705882352941,0.014705882352941176,0.125,0.02631578947368421,5.0299274534928155E8,0.23529411764705882,0.059027777777777776,0.20833333333333331,0.09199134199134198
1,0,6.519729273117947E15,0.25,0.03125,0.125,0.05,2.260817584622337E8,0.0625,0.009615384615384616,0.0625,0.01666666666666667
1,1,6.519729273117947E15,0.24,0.03,0.125,0.04838709677419355,2.260817584622337E8,0.24,0.03125,0.125,0.05
1,2,6.519729273117947E15,0.08333333333333333,0.010416666666666666,0.125,0.019230769230769232,2.260817584622337E8,0.16666666666666666,0.022727272727272728,0.125,0.038461538461538464
1,3,6.519729273117947E15,0.2,0.025,0.125,0.04166666666666667,2.260817584622337E8,0.0,0.0,0.0,NaN
1,4,6.519729273117947E15,0.21428571428571427,0.026785714285714284,0.125,0.04411764705882353,2.260817584622337E8,0.07142857142857142,0.008928571428571428,0.125,0.016666666666666666
1,5,6.519729273117947E15,0.037037037037037035,0.004629629629629629,0.125,0.008928571428571428,2.260817584622337E8,0.14814814814814814,0.019230769230769232,0.125,0.03333333333333334
1,6,6.519729273117947E15,0.047619047619047616,0.005952380952380952,0.125,0.011363636363636362,2.260817584622337E8,0.19047619047619047,0.023809523809523808,0.125,0.04
1,7,6.519729273117947E15,0.2222222222222222,0.027777777777777776,0.125,0.04545454545454545,2.260817584622337E8,0.16666666666666666,0.020833333333333332,0.125,0.03571428571428571
1,8,6.519729273117947E15,0.1,0.0125,0.125,0.022727272727272728,2.260817584622337E8,0.1,0.014705882352941176,0.08333333333333333,0.025
1,9,6.519729273117947E15,0.11764705882352941,0.014705882352941176,0.125,0.02631578947368421,2.260817584622337E8,0.11764705882352941,0.015625,0.125,0.027777777777777776
2,0,1.1736609150394144E16,0.125,0.015625,0.125,0.027777777777777776,7.615314152251523E8,0.25,0.18154761904761907,0.21875,0.1984200743494424
2,1,1.1736609150394144E16,0.08,0.01,0.125,0.018518518518518517,7.615314152251523E8,0.12,0.13392857142857142,0.1875,0.15625000000000003
2,2,1.1736609150394144E16,0.25,0.03125,0.125,0.05,7.615314152251523E8,0.4166666666666667,0.17857142857142858,0.32916666666666666,0.23153575615474795
2,3,1.1736609150394144E16,0.2,0.025,0.125,0.04166666666666667,7.615314152251523E8,0.16,0.165625,0.21666666666666667,0.1877384196185286
2,4,1.1736609150394144E16,0.0,0.0,0.0,NaN,7.615314152251523E8,0.2857142857142857,0.3125,0.25,0.2777777777777778
2,5,1.1736609150394144E16,0.25925925925925924,0.032407407407407406,0.125,0.051470588235294115,7.615314152251523E8,0.5185185185185185,0.35101010101010105,0.4214285714285714,0.3830095273678311
2,6,1.1736609150394144E16,0.047619047619047616,0.005952380952380952,0.125,0.011363636363636362,7.615314152251523E8,0.42857142857142855,0.1375,0.25,0.1774193548387097
2,7,1.1736609150394144E16,0.0,0.0,0.0,NaN,7.615314152251523E8,0.2777777777777778,0.175,0.20833333333333331,0.1902173913043478
2,8,1.1736609150394144E16,0.15,0.01875,0.125,0.03260869565217391,7.615314152251523E8,0.5,0.359375,0.3416666666666667,0.350297176820208
2,9,1.1736609150394144E16,0.17647058823529413,0.022058823529411766,0.125,0.0375,7.615314152251523E8,0.5882352941176471,0.2552083333333333,0.3333333333333333,0.28908554572271383
3,0,1.6320910363080952E16,0.25,0.03125,0.125,0.05,5.31570213132852E8,0.3125,0.109375,0.1875,0.13815789473684212
3,1,1.6320910363080952E16,0.24,0.03,0.125,0.04838709677419355,5.31570213132852E8,0.32,0.13809523809523808,0.2020833333333333,0.16407115777194517
3,2,1.6320910363080952E16,0.08333333333333333,0.010416666666666666,0.125,0.019230769230769232,5.31570213132852E8,0.20833333333333334,0.08630952380952381,0.21875,0.12378048780487803
3,3,1.6320910363080952E16,0.2,0.025,0.125,0.04166666666666667,5.31570213132852E8,0.32,0.12351190476190475,0.19999999999999998,0.15271389144434222
3,4,1.6320910363080952E16,0.21428571428571427,0.026785714285714284,0.125,0.04411764705882353,5.31570213132852E8,0.5,0.22916666666666666,0.3333333333333333,0.2716049382716049
3,5,1.6320910363080952E16,0.037037037037037035,0.004629629629629629,0.125,0.008928571428571428,5.31570213132852E8,0.18518518518518517,0.07321428571428572,0.3333333333333333,0.12005856515373353
3,6,1.6320910363080952E16,0.047619047619047616,0.005952380952380952,0.125,0.011363636363636362,5.31570213132852E8,0.23809523809523808,0.06597222222222222,0.25,0.1043956043956044
3,7,1.6320910363080952E16,0.2222222222222222,0.027777777777777776,0.125,0.04545454545454545,5.31570213132852E8,0.2222222222222222,0.05555555555555555,0.1875,0.08571428571428572
3,8,1.6320910363080952E16,0.1,0.0125,0.125,0.022727272727272728,5.31570213132852E8,0.3,0.13958333333333334,0.325,0.1952914798206278
3,9,1.6320910363080952E16,0.11764705882352941,0.014705882352941176,0.125,0.02631578947368421,5.31570213132852E8,0.17647058823529413,0.043560606060606064,0.25,0.07419354838709677
4,0,4.6696932321641306E14,0.125,0.015625,0.125,0.027777777777777776,1.6540781219886374E9,0.25,0.03125,0.125,0.05
4,1,4.6696932321641306E14,0.0,0.0,0.0,NaN,1.6540781219886374E9,0.24,0.03,0.125,0.04838709677419355
4,2,4.6696932321641306E14,0.20833333333333334,0.026041666666666668,0.125,0.04310344827586207,1.6540781219886374E9,0.08333333333333333,0.010416666666666666,0.125,0.019230769230769232
4,3,4.6696932321641306E14,0.12,0.015,0.125,0.02678571428571428,1.6540781219886374E9,0.2,0.025,0.125,0.04166666666666667
4,4,4.6696932321641306E14,0.2857142857142857,0.03571428571428571,0.125,0.05555555555555556,1.6540781219886374E9,0.21428571428571427,0.026785714285714284,0.125,0.04411764705882353
4,5,4.6696932321641306E14,0.18518518518518517,0.023148148148148147,0.125,0.0390625,1.6540781219886374E9,0.037037037037037035,0.004629629629629629,0.125,0.008928571428571428
4,6,4.6696932321641306E14,0.09523809523809523,0.011904761904761904,0.125,0.021739130434782605,1.6540781219886374E9,0.047619047619047616,0.005952380952380952,0.125,0.011363636363636362
4,7,4.6696932321641306E14,0.16666666666666666,0.020833333333333332,0.125,0.03571428571428571,1.6540781219886374E9,0.2222222222222222,0.027777777777777776,0.125,0.04545454545454545
4,8,4.6696932321641306E14,0.1,0.0125,0.125,0.022727272727272728,1.6540781219886374E9,0.1,0.0125,0.125,0.022727272727272728
4,9,4.6696932321641306E14,0.17647058823529413,0.022058823529411766,0.125,0.0375,1.6540781219886374E9,0.11764705882352941,0.014705882352941176,0.125,0.02631578947368421
5,0,2.2217639395221764E16,0.125,0.015625,0.125,0.027777777777777776,2.227997231252464E7,0.3125,0.13541666666666666,0.25,0.17567567567567569
5,1,2.2217639395221764E16,0.08,0.01,0.125,0.018518518518518517,2.227997231252464E7,0.44,0.2723214285714286,0.325,0.2963378176382661
5,2,2.2217639395221764E16,0.25,0.03125,0.125,0.05,2.227997231252464E7,0.4166666666666667,0.2467948717948718,0.4125,0.3088235294117647
5,3,2.2217639395221764E16,0.2,0.025,0.125,0.04166666666666667,2.227997231252464E7,0.28,0.22767857142857142,0.30833333333333335,0.2619378123264853
5,4,2.2217639395221764E16,0.0,0.0,0.0,NaN,2.227997231252464E7,0.35714285714285715,0.20833333333333334,0.34375,0.25943396226415094
5,5,2.2217639395221764E16,0.25925925925925924,0.032407407407407406,0.125,0.051470588235294115,2.227997231252464E7,0.48148148148148145,0.34545454545454546,0.4125,0.37601199400299845
5,6,2.2217639395221764E16,0.047619047619047616,0.005952380952380952,0.125,0.011363636363636362,2.227997231252464E7,0.7142857142857143,0.375,0.40625,0.39
5,7,2.2217639395221764E16,0.0,0.0,0.0,NaN,2.227997231252464E7,0.5555555555555556,0.36666666666666664,0.4166666666666667,0.39007092198581556
5,8,2.2217639395221764E16,0.15,0.01875,0.125,0.03260869565217391,2.227997231252464E7,0.5,0.28125,0.36666666666666664,0.3183279742765273
5,9,2.2217639395221764E16,0.17647058823529413,0.022058823529411766,0.125,0.0375,2.227997231252464E7,0.5882352941176471,0.26041666666666663,0.375,0.3073770491803278
6,0,5.489865980555149E15,0.0,0.0,0.0,NaN,4.99060229068932E7,0.3125,0.07045454545454546,0.1875,0.1024229074889868
6,1,5.489865980555149E15,0.08,0.01,0.125,0.018518518518518517,4.99060229068932E7,0.36,0.20734126984126983,0.3020833333333333,0.2459023044466082
6,2,5.489865980555149E15,0.041666666666666664,0.005208333333333333,0.125,0.009999999999999998,4.99060229068932E7,0.20833333333333334,0.16567460317460317,0.28125,0.2085183129855716
6,3,5.489865980555149E15,0.04,0.005,0.125,0.009615384615384616,4.99060229068932E7,0.32,0.20555555555555555,0.3,0.24395604395604395
6,4,5.489865980555149E15,0.07142857142857142,0.008928571428571428,0.125,0.016666666666666666,4.99060229068932E7,0.42857142857142855,0.2232142857142857,0.3333333333333333,0.267379679144385
6,5,5.489865980555149E15,0.14814814814814814,0.018518518518518517,0.125,0.03225806451612903,4.99060229068932E7,0.2962962962962963,0.16950757575757575,0.375,0.23347826086956525
6,6,5.489865980555149E15,0.38095238095238093,0.047619047619047616,0.125,0.06896551724137931,4.99060229068932E7,0.5714285714285714,0.21212121212121213,0.359375,0.2667771333885667
6,7,5.489865980555149E15,0.16666666666666666,0.020833333333333332,0.125,0.03571428571428571,4.99060229068932E7,0.3888888888888889,0.2,0.3125,0.24390243902439027
6,8,5.489865980555149E15,0.2,0.025,0.125,0.04166666666666667,4.99060229068932E7,0.35,0.171875,0.375,0.2357142857142857
6,9,5.489865980555149E15,0.29411764705882354,0.03676470588235294,0.125,0.056818181818181816,4.99060229068932E7,0.47058823529411764,0.1875,0.375,0.25
7,0,2.300519854063491E15,0.25,0.03125,0.125,0.05,3.731563938552593E8,0.25,0.03125,0.125,0.05
7,1,2.300519854063491E15,0.24,0.03,0.125,0.04838709677419355,3.731563938552593E8,0.24,0.03,0.125,0.04838709677419355
7,2,2.300519854063491E15,0.08333333333333333,0.010416666666666666,0.125,0.019230769230769232,3.731563938552593E8,0.08333333333333333,0.010416666666666666,0.125,0.019230769230769232
7,3,2.300519854063491E15,0.2,0.025,0.125,0.04166666666666667,3.731563938552593E8,0.2,0.025,0.125,0.04166666666666667
7,4,2.300519854063491E15,0.21428571428571427,0.026785714285714284,0.125,0.04411764705882353,3.731563938552593E8,0.21428571428571427,0.026785714285714284,0.125,0.04411764705882353
7,5,2.300519854063491E15,0.037037037037037035,0.004629629629629629,0.125,0.008928571428571428,3.731563938552593E8,0.037037037037037035,0.004629629629629629,0.125,0.008928571428571428
7,6,2.300519854063491E15,0.047619047619047616,0.005952380952380952,0.125,0.011363636363636362,3.731563938552593E8,0.047619047619047616,0.005952380952380952,0.125,0.011363636363636362
