train Fold, test Fold, KMEANS-DISTORTION, KMEANS-ACC, KMEANS-PREC, KMEANS-RECALL, KMEANS-FSCORE, KMETROIDS-DISTORTION, KMETROIDS-ACC, KMETROIDS-PREC, KMETROIDS-RECALL, KMETROIDS-FSCORE
3,0,2.675235732125287E13,0.1662531017369727,0.005732865577136989,0.034482758620689655,0.009831254585473221,0.08850985406475002,0.20595533498759305,0.05134467634364614,0.05322324349060157,0.0522670856476002
3,1,2.675235732125287E13,0.24691358024691357,0.008514261387824606,0.034482758620689655,0.013656538067599863,0.08850985406475002,0.20987654320987653,0.04968761263967319,0.05216887749586917,0.05089802276540046
3,2,2.675235732125287E13,0.12614678899082568,0.004349889275545713,0.034482758620689655,0.00772526160544982,0.08850985406475002,0.19724770642201836,0.056254848294980314,0.05869739167585935,0.057450169998847195
3,3,2.675235732125287E13,0.15571776155717762,0.005369577984730263,0.034482758620689655,0.009292196007259529,0.08850985406475002,0.26763990267639903,0.10045549330606995,0.09345045944168995,0.09682644467450262
3,4,2.675235732125287E13,0.13876651982378854,0.004785052407716846,0.034482758620689655,0.00840392183018742,0.08850985406475002,0.20704845814977973,0.052691545919306464,0.06722809409840619,0.059078766526157095
3,5,2.675235732125287E13,0.14087759815242495,0.004857848212152584,0.034482758620689655,0.008515984922518498,0.08850985406475002,0.18937644341801385,0.04967532569196962,0.05101927527748103,0.05033833177900025
3,6,2.675235732125287E13,0.15330188679245282,0.005286271958360443,0.034482758620689655,0.009167195543332628,0.08850985406475002,0.2240566037735849,0.06335645085245852,0.06488118564580334,0.064109753764423
3,7,2.675235732125287E13,0.1745635910224439,0.006019434173187721,0.034482758620689655,0.010249652243941724,0.08850985406475002,0.20947630922693267,0.04598696905369688,0.0593011553183594,0.051802240960000225
3,8,2.675235732125287E13,0.1325581395348837,0.004570970328789094,0.034482758620689655,0.008071939389648092,0.08850985406475002,0.19767441860465115,0.05364906863541372,0.060123766335892205,0.05670218321600874
3,9,2.675235732125287E13,0.14030612244897958,0.004838142153413089,0.034482758620689655,0.008485690040885596,0.08850985406475002,0.22704081632653061,0.04942334048976521,0.05745537089372581,0.053137548570500064
4,0,3.158135106808016E13,0.10669975186104218,0.0036793017883117994,0.034482758620689655,0.006649141796814596,0.03866608039450007,0.21588089330024815,0.0829556713167204,0.08470437090976386,0.0838209016169504
4,1,3.158135106808016E13,0.08641975308641975,0.002979991485738612,0.034482758620689655,0.0054858934169279,0.03866608039450007,0.24691358024691357,0.12055150126610971,0.1175713307699039,0.11904276720531103
4,2,3.158135106808016E13,0.11467889908256881,0.003954444795950649,0.034482758620689655,0.007095217823187173,0.03866608039450007,0.25229357798165136,0.1009264805001051,0.09612096465202241,0.09846512505771393
4,3,3.158135106808016E13,0.1386861313868613,0.00478228039265039,0.034482758620689655,0.008399646330680815,0.03866608039450007,0.2360097323600973,0.07670975257182154,0.08227453484675497,0.07939475420536236
4,4,3.158135106808016E13,0.1343612334801762,0.004633145982075041,0.034482758620689655,0.008168731168396384,0.03866608039450007,0.3392070484581498,0.1715944028024598,0.13786439891928193,0.15289117044759892
4,5,3.158135106808016E13,0.10854503464203233,0.0037429322290355974,0.034482758620689655,0.006752873563218389,0.03866608039450007,0.2748267898383372,0.11126019542148821,0.10641569851034266,0.10878403849240885
4,6,3.158135106808016E13,0.10849056603773585,0.003741054001301236,0.034482758620689655,0.0067498165810711665,0.03866608039450007,0.24764150943396226,0.08324222961539135,0.08920159220009295,0.08611893823512899
4,7,3.158135106808016E13,0.09476309226932668,0.0032676928368733336,0.034482758620689655,0.005969680307909826,0.03866608039450007,0.20947630922693267,0.08099635611786496,0.07694632187459674,0.07891941263414767
4,8,3.158135106808016E13,0.12093023255813953,0.004170008019246191,0.034482758620689655,0.007440263270854199,0.03866608039450007,0.22093023255813954,0.0867007404575917,0.08149708013438056,0.08401841555276039
4,9,3.158135106808016E13,0.11989795918367346,0.004134412385643912,0.034482758620689655,0.007383551959783206,0.03866608039450007,0.2423469387755102,0.10608772207693418,0.09230209162787908,0.09871594171974946
5,0,2.4695175139521684E13,0.16129032258064516,0.0055617352614015575,0.034482758620689655,0.009578544061302681,0.14804041140599988,0.21836228287841192,0.07065142613049138,0.070854677155351,0.07075290567402603
5,1,2.4695175139521684E13,0.17901234567901234,0.006172839506172839,0.034482758620689655,0.010471204188481674,0.14804041140599988,0.22839506172839505,0.06670610605701884,0.09543511383582727,0.07852543393103262
