train Fold, test Fold, KNN-ACC, KNN-PREC, KNN-RECALL, KNN-FSCORE, CKNN-ACC, CKNN-PREC, CKNN-RECALL, CKNN-FSCORE, EKNN-ACC, EKNN-PREC, EKNN-RECALL, EKNN-FSCORE
0,0,0.9115646258503401,0.4,0.453939393939394,0.4252661462029809,0.7755102040816326,0.3851950354609929,0.41515151515151516,0.3996126489908398,0.8979591836734694,0.3333333333333333,0.38545454545454544,0.357504215851602
0,1,0.8198757763975155,0.3522727272727273,0.39563396847800514,0.37269637474653566,0.7453416149068323,0.4795918367346939,0.36531404375441073,0.414724615545898,0.8074534161490683,0.30961416824794435,0.36367913432133614,0.3344759624144534
0,2,0.861271676300578,0.5796491228070175,0.5466666666666666,0.56267497403946,0.7630057803468208,0.48380541871921184,0.3383333333333334,0.3981992080809695,0.838150289017341,0.31508027522935783,0.36833333333333335,0.33963200787555725
0,3,0.819672131147541,0.3784435261707989,0.39349841269841274,0.3858241646058052,0.7049180327868853,0.3162187088274045,0.3263111111111111,0.32118564782398806,0.819672131147541,0.3069852941176471,0.3480888888888889,0.32624753869616124
0,4,0.8165680473372781,0.3318061047302245,0.37764929742388753,0.3532465661741663,0.7218934911242604,0.3201454775458571,0.3432377049180328,0.3312896734722667,0.7988165680473372,0.2911620795107034,0.35502049180327866,0.31993591053426346
0,5,0.8636363636363636,0.3978859468315628,0.3839782691574533,0.390808414203226,0.7386363636363636,0.28589325329505416,0.32756385817765915,0.3053132658336008,0.8409090909090909,0.3167298777918247,0.3600838734273732,0.3370183333893934
0,6,0.7894736842105263,0.5051082251082251,0.45479853479853477,0.47863498891543016,0.7526315789473684,0.5687139298949031,0.42012210012210016,0.483253609988364,0.7736842105263158,0.2916216526835996,0.34864468864468867,0.31759389410036765
0,7,0.7956989247311828,0.3419931763152102,0.39728281668580173,0.36757047073120563,0.7258064516129032,0.6385384615384615,0.4850691596960253,0.5513229157911085,0.8064516129032258,0.30074709124311083,0.3584003061615002,0.32705234065438343
0,8,0.8076923076923077,0.519224156458199,0.47297138047138054,0.49501969503729426,0.6794871794871795,0.375191570881226,0.37030723905723906,0.37273340447597303,0.7371794871794872,0.2798255911453966,0.34050925925925923,0.30719926407664616
0,9,0.7514792899408284,0.5108531542809454,0.3821845574387947,0.43724959007408004,0.7041420118343196,0.26956020187454943,0.3175141242937853,0.2915786558109923,0.7514792899408284,0.2854810996563574,0.3426553672316384,0.3114661739831254
1,0,0.9115646258503401,0.5570785070785071,0.5645454545454546,0.5607871260895507,0.782312925170068,0.39666666666666667,0.41454545454545455,0.40540903997011574,0.891156462585034,0.44322981366459624,0.4412121212121212,0.4422186659402772
1,1,0.9130434782608695,0.6317627494456762,0.5820195248176899,0.6058718487268117,0.7950310559006211,0.6085714285714285,0.4908350976240885,0.5433990238129007,0.9254658385093167,0.5331317764804003,0.5541107974594214,0.5434188853477764
1,2,0.884393063583815,0.6113821138211383,0.5466666666666666,0.5772161377890106,0.7803468208092486,0.4038961038961039,0.42333333333333334,0.4133863624470145,0.8728323699421965,0.4004404181184669,0.4883333333333333,0.440040907737788
1,3,0.8579234972677595,0.5941391941391941,0.40946031746031747,0.48480777488646604,0.7978142076502732,0.3111111111111111,0.36160000000000003,0.33446088794926004,0.8360655737704918,0.41404186795491144,0.3647111111111111,0.3878140405689631
1,4,0.8698224852071006,0.6837010534684953,0.5630708430913349,0.6175502185462767,0.7337278106508875,0.28311688311688316,0.3508196721311475,0.31335303600214937,0.8402366863905325,0.42117096018735367,0.43688524590163935,0.42888420875542904
1,5,0.8863636363636364,0.48044924616981016,0.4048608463591307,0.43942815083305276,0.7897727272727273,0.3070500927643785,0.35436523065192527,0.3290152891594224,0.8977272727272727,0.3471020408163265,0.3734654975219215,0.35980148831931597
1,6,0.8315789473684211,0.5153205128205128,0.4671062271062271,0.4900302703731084,0.7210526315789474,0.49010989010989015,0.40498168498168496,0.4434977038021726,0.8263157894736842,0.432089552238806,0.44166056166056167,0.4368226368012374
1,7,0.8440860215053764,0.44311965811965814,0.4751571811273304,0.45857954519881167,0.7204301075268817,0.2847058823529412,0.3308840413318025,0.3060629465147712,0.8333333333333334,0.43116246498599436,0.4612651030561478,0.4457060852165784
1,8,0.8589743589743589,0.44761351052048726,0.45294612794612793,0.4502640308238599,0.717948717948718,0.4842105263157895,0.36447811447811446,0.4158984370921771,0.8653846153846154,0.465542531185357,0.45479797979797976,0.46010753664840426
1,9,0.8165680473372781,0.5320984665052462,0.4686064030131827,0.4983382334450846,0.650887573964497,0.2718869590815426,0.30998116760828626,0.2896870722684874,0.7988165680473372,0.3710569105691057,0.3942184557438795,0.38228718371635795
2,0,0.9047619047619048,0.394083115373438,0.4278787878787879,0.4102861825160303,0.8027210884353742,0.40146929824561395,0.43909090909090914,0.4194381737325823,0.8707482993197279,0.3223196881091618,0.35393939393939394,0.33739032300611704
2,1,0.8509316770186336,0.39600821460659735,0.4396800752764055,0.41670303082188737,0.7888198757763976,0.37212232866617534,0.4627899317807575,0.41253308941787153,0.8322981366459627,0.31190476190476185,0.35784521289108445,0.33329938074152127
2,2,0.9075144508670521,0.5121212121212121,0.4866666666666667,0.49906957928802587,0.8208092485549133,0.4482473961681882,0.5149999999999999,0.47931073563226056,0.861271676300578,0.525,0.4,0.4540540540540541
2,3,0.8524590163934426,0.3250739843960183,0.3662222222222222,0.3444234636684048,0.7431693989071039,0.2981689949816899,0.32568888888888886,0.31132195709126953,0.8524590163934426,0.32394437420986094,0.37475555555555556,0.347502407698459
2,4,0.8461538461538461,0.3140641904075009,0.36352459016393446,0.3369892163998668,0.7633136094674556,0.32126541601528574,0.3675058548009368,0.342833466880121,0.8224852071005917,0.3001448109412711,0.361577868852459,0.3280096765645037
2,5,0.8636363636363636,0.42703703703703705,0.3839782691574533,0.4043646059333096,0.7784090909090909,0.3646923597025017,0.4204346168509341,0.39058470056161354,0.8579545454545454,0.3265873015873016,0.3710255432710637,0.34739105476608767
2,6,0.8,0.39789959016393445,0.3880341880341881,0.3929049715674056,0.7578947368421053,0.38590230612793064,0.46813186813186813,0.4230584042860777,0.8052631578947368,0.503157894736842,0.385006105006105,0.4362231779531022
