train Fold, test Fold, KMEANS-DISTORTION, KMEANS-ACC, KMEANS-PREC, KMEANS-RECALL, KMEANS-FSCORE, KMETROIDS-DISTORTION, KMETROIDS-ACC, KMETROIDS-PREC, KMETROIDS-RECALL, KMETROIDS-FSCORE
0,0,7.764454130287279E14,0.26666666666666666,0.03333333333333333,0.125,0.052631578947368425,1.6821534573329263E9,0.26666666666666666,0.0625,0.125,0.08333333333333333
0,1,7.764454130287279E14,0.21739130434782608,0.02717391304347826,0.125,0.04464285714285714,1.6821534573329263E9,0.08695652173913043,0.02395833333333333,0.0875,0.03761682242990654
0,2,7.764454130287279E14,0.14285714285714285,0.017857142857142856,0.125,0.03125,1.6821534573329263E9,0.0,0.0,0.0,NaN
0,3,7.764454130287279E14,0.12,0.015,0.125,0.02678571428571428,1.6821534573329263E9,0.08,0.019230769230769232,0.08333333333333333,0.03125
0,4,7.764454130287279E14,0.047619047619047616,0.005952380952380952,0.125,0.011363636363636362,1.6821534573329263E9,0.047619047619047616,0.013888888888888888,0.125,0.024999999999999998
0,5,7.764454130287279E14,0.043478260869565216,0.005434782608695652,0.125,0.010416666666666666,1.6821534573329263E9,0.0,0.0,0.0,NaN
0,6,7.764454130287279E14,0.05,0.00625,0.125,0.011904761904761904,1.6821534573329263E9,0.0,0.0,0.0,NaN
0,7,7.764454130287279E14,0.1111111111111111,0.013888888888888888,0.125,0.024999999999999998,1.6821534573329263E9,0.16666666666666666,0.0375,0.0625,0.04687499999999999
0,8,7.764454130287279E14,0.16,0.02,0.125,0.03448275862068966,1.6821534573329263E9,0.04,0.005952380952380952,0.0625,0.010869565217391302
0,9,7.764454130287279E14,0.2631578947368421,0.03289473684210526,0.125,0.052083333333333336,1.6821534573329263E9,0.05263157894736842,0.015625,0.03125,0.020833333333333332
1,0,9.583419927904654E15,0.13333333333333333,0.016666666666666666,0.125,0.029411764705882353,2.8050597074816804E7,0.3333333333333333,0.3333333333333333,0.28125,0.3050847457627119
1,1,9.583419927904654E15,0.2608695652173913,0.03260869565217391,0.125,0.05172413793103448,2.8050597074816804E7,0.7391304347826086,0.4758928571428571,0.525,0.4992417484388939
1,2,9.583419927904654E15,0.21428571428571427,0.026785714285714284,0.125,0.04411764705882353,2.8050597074816804E7,0.2857142857142857,0.23333333333333334,0.16666666666666666,0.19444444444444445
1,3,9.583419927904654E15,0.2,0.025,0.125,0.04166666666666667,2.8050597074816804E7,0.44,0.35,0.30624999999999997,0.3266666666666666
1,4,9.583419927904654E15,0.09523809523809523,0.011904761904761904,0.125,0.021739130434782605,2.8050597074816804E7,0.38095238095238093,0.3333333333333333,0.35625,0.3444108761329305
1,5,9.583419927904654E15,0.08695652173913043,0.010869565217391304,0.125,0.02,2.8050597074816804E7,0.30434782608695654,0.275,0.36458333333333337,0.3135179153094463
1,6,9.583419927904654E15,0.1,0.0125,0.125,0.022727272727272728,2.8050597074816804E7,0.4,0.3958333333333333,0.4375,0.41562499999999997
1,7,9.583419927904654E15,0.05555555555555555,0.006944444444444444,0.125,0.013157894736842105,2.8050597074816804E7,0.2222222222222222,0.3125,0.25,0.2777777777777778
1,8,9.583419927904654E15,0.12,0.015,0.125,0.02678571428571428,2.8050597074816804E7,0.48,0.5072115384615384,0.4375,0.46978371501272265
1,9,9.583419927904654E15,0.10526315789473684,0.013157894736842105,0.125,0.02380952380952381,2.8050597074816804E7,0.42105263157894735,0.2875,0.33125,0.30782828282828284
2,0,8.36803456337349E14,0.26666666666666666,0.03333333333333333,0.125,0.052631578947368425,3.21782512512519E8,0.26666666666666666,0.07291666666666666,0.15625,0.09943181818181816
2,1,8.36803456337349E14,0.08695652173913043,0.010869565217391304,0.125,0.02,3.21782512512519E8,0.13043478260869565,0.03888888888888889,0.14583333333333334,0.06140350877192983
2,2,8.36803456337349E14,0.21428571428571427,0.026785714285714284,0.125,0.04411764705882353,3.21782512512519E8,0.2857142857142857,0.15384615384615385,0.16666666666666666,0.16
2,3,8.36803456337349E14,0.0,0.0,0.0,NaN,3.21782512512519E8,0.04,0.041666666666666664,0.025,0.03125
2,4,8.36803456337349E14,0.047619047619047616,0.005952380952380952,0.125,0.011363636363636362,3.21782512512519E8,0.047619047619047616,0.006578947368421052,0.125,0.0125
2,5,8.36803456337349E14,0.21739130434782608,0.02717391304347826,0.125,0.04464285714285714,3.21782512512519E8,0.21739130434782608,0.03289473684210526,0.125,0.052083333333333336
2,6,8.36803456337349E14,0.15,0.01875,0.125,0.03260869565217391,3.21782512512519E8,0.15,0.020833333333333332,0.125,0.03571428571428571
2,7,8.36803456337349E14,0.3333333333333333,0.041666666666666664,0.125,0.0625,3.21782512512519E8,0.3333333333333333,0.041666666666666664,0.125,0.0625
2,8,8.36803456337349E14,0.08,0.01,0.125,0.018518518518518517,3.21782512512519E8,0.08,0.011904761904761904,0.125,0.021739130434782605
2,9,8.36803456337349E14,0.21052631578947367,0.02631578947368421,0.125,0.043478260869565216,3.21782512512519E8,0.21052631578947367,0.02631578947368421,0.125,0.043478260869565216
3,0,1.8444814522523104E16,0.13333333333333333,0.016666666666666666,0.125,0.029411764705882353,3.571519122141727E7,0.4666666666666667,0.425,0.375,0.39843749999999994
3,1,1.8444814522523104E16,0.21739130434782608,0.02717391304347826,0.125,0.04464285714285714,3.571519122141727E7,0.5217391304347826,0.4007936507936508,0.37916666666666665,0.38968031883320614
3,2,1.8444814522523104E16,0.14285714285714285,0.017857142857142856,0.125,0.03125,3.571519122141727E7,0.5,0.35416666666666663,0.4583333333333333,0.39957264957264954
3,3,1.8444814522523104E16,0.2,0.025,0.125,0.04166666666666667,3.571519122141727E7,0.64,0.46502976190476186,0.46041666666666664,0.46271171678190487
3,4,1.8444814522523104E16,0.09523809523809523,0.011904761904761904,0.125,0.021739130434782605,3.571519122141727E7,0.42857142857142855,0.2648809523809524,0.425,0.32635893011216566
3,5,1.8444814522523104E16,0.17391304347826086,0.021739130434782608,0.125,0.03703703703703704,3.571519122141727E7,0.391304347826087,0.22619047619047616,0.34375,0.27284595300261094
3,6,1.8444814522523104E16,0.1,0.0125,0.125,0.022727272727272728,3.571519122141727E7,0.55,0.3354166666666667,0.53125,0.41120793269230776
3,7,1.8444814522523104E16,0.05555555555555555,0.006944444444444444,0.125,0.013157894736842105,3.571519122141727E7,0.3888888888888889,0.29910714285714285,0.5625,0.3905440414507772
3,8,1.8444814522523104E16,0.16,0.02,0.125,0.03448275862068966,3.571519122141727E7,0.4,0.23482142857142857,0.3333333333333333,0.27553693033001575
3,9,1.8444814522523104E16,0.10526315789473684,0.013157894736842105,0.125,0.02380952380952381,3.571519122141727E7,0.47368421052631576,0.2583333333333333,0.425,0.3213414634146341
