train Fold, test Fold, KNN-ACC, KNN-PREC, KNN-RECALL, KNN-FSCORE, CKNN-ACC, CKNN-PREC, CKNN-RECALL, CKNN-FSCORE, EKNN-ACC, EKNN-PREC, EKNN-RECALL, EKNN-FSCORE
0,0,0.36982968369829683,0.17875497509219546,0.16502373051221045,0.17161512540730964,0.3381995133819951,0.17970907430434632,0.159069653002225,0.16876065577207774,0.3260340632603406,0.14263801491841885,0.1496245989512254,0.14604779923638408
0,1,0.2459016393442623,0.10878910866405943,0.1004629457627089,0.10446037773183012,0.22404371584699453,0.07647456563013605,0.08452060565283058,0.08029652756150829,0.22404371584699453,0.09919710919453584,0.09447037909848208,0.09677606286608893
0,2,0.2813953488372093,0.11649719506929379,0.12562330083688616,0.12088825547849676,0.24883720930232558,0.10523409127937838,0.11988444005800164,0.11208255520407338,0.27674418604651163,0.08565936443687446,0.10515737359431863,0.0944121975973386
0,3,0.22823529411764706,0.07221436823274271,0.08650092237613351,0.07871465234355504,0.2211764705882353,0.07775389404682687,0.08635665015603478,0.08182979173076362,0.23294117647058823,0.07633442068723642,0.09071211718320069,0.08290452472427778
0,4,0.1975,0.10282225396193544,0.0858344933549394,0.09356353483198429,0.21,0.09712132969930819,0.08846336177649075,0.09259038832439614,0.19,0.09269603434695449,0.08349130170829076,0.08785322196365945
0,5,0.22195121951219512,0.07473692908373096,0.07720927617529222,0.07595298860254154,0.1951219512195122,0.07245123936321297,0.07567605035383441,0.0740285419212287,0.24390243902439024,0.07214295958427316,0.09474481534015834,0.0819133862501253
0,6,0.2575107296137339,0.08696654989441609,0.09804655589553773,0.09217477495832557,0.2510729613733906,0.085237479237091,0.09040898595736784,0.08774710102883077,0.24678111587982832,0.0792246761628582,0.099334784258294,0.08814728825914925
0,7,0.2076923076923077,0.08757895110354126,0.08578409198377455,0.08667223029218228,0.21025641025641026,0.09835641923284641,0.08280005320980334,0.08991030390684601,0.2205128205128205,0.08548713109958607,0.09565332530976048,0.09028494818835979
0,8,0.20833333333333334,0.06820131854828129,0.06907236705805611,0.06863407925273647,0.20572916666666666,0.061661209648467816,0.06386585102727724,0.06274417019519496,0.24739583333333334,0.07379138656493377,0.07935128242520048,0.07647040755491108
0,9,0.19909502262443438,0.13208544994806154,0.09079012162589016,0.10761209926334062,0.19909502262443438,0.14082622436485015,0.09540795780696766,0.11375104439834162,0.22171945701357465,0.1053009138708936,0.10013548987540806,0.1026532630293856
1,0,0.24330900243309003,0.10985035550085197,0.1053323226366084,0.10754390815761068,0.24087591240875914,0.09638026121133762,0.1007092491806678,0.09849721299854804,0.2141119221411192,0.058700724764662246,0.059256417045058865,0.05897726198067947
