fold, Multi Hidden Layers, Multi Hidden Nodes, Multi METRIC, Condense size, Condense METRIC, K-Means METRIC, K-Metroids METRIC
0,0,[],0.10526315789473684,61,0.10526315789473684,0,0.10526315789473684,0.10526315789473684
1,0,[],0.18181818181818182,68,0.18181818181818182,0,0.18181818181818182,0.09090909090909091
2,0,[],0.1111111111111111,78,0.1111111111111111,0,0.1111111111111111,0.1111111111111111
3,0,[],0.10526315789473684,89,0.10526315789473684,0,0.10526315789473684,0.10526315789473684
4,0,[],0.08,83,0.16,0,0.16,0.12
5,0,[],0.25,94,0.05,0,0.05,0.05
6,0,[],0.1935483870967742,106,0.16129032258064516,0,0.16129032258064516,0.16129032258064516
7,0,[],0.045454545454545456,101,0.18181818181818182,0,0.18181818181818182,0.18181818181818182
8,0,[],0.17647058823529413,105,0.11764705882352941,0,0.11764705882352941,0.17647058823529413
9,0,[],0.25,111,0.25,0,0.25,0.25
