fold, Multi Hidden Layers, Multi Hidden Nodes, Multi METRIC, Condense size, Condense METRIC, K-Means METRIC, K-Metroids METRIC
0,1,[8],0.15517241379310345,2746,0.15517241379310345,0,0.15517241379310345,0.15517241379310345
1,1,[8],0.17060367454068243,2817,0.14435695538057744,0,0.14435695538057744,0.14435695538057744
2,1,[9],0.17597765363128492,2808,0.07262569832402235,0,0.15083798882681565,0.15083798882681565
3,1,[9],0.18181818181818182,2795,0.09336609336609336,0,0.12776412776412777,0.12776412776412777
4,1,[9],0.16428571428571428,2814,0.1261904761904762,0,0.1261904761904762,0.1261904761904762
5,1,[9],0.16435185185185186,2759,0.12962962962962962,0,0.12962962962962962,0.12962962962962962
6,1,[9],0.18203309692671396,2789,0.14420803782505912,0,0.18203309692671396,0.14420803782505912
7,1,[9],0.14965986394557823,2971,0.10884353741496598,0,0.1292517006802721,0.1292517006802721
8,1,[9],0.1523809523809524,2795,0.13333333333333333,0,0.18095238095238095,0.13333333333333333
9,1,[9],0.14004914004914004,2767,0.06142506142506143,0,0.14987714987714987,0.14987714987714987
