fold, Multi Hidden Layers, Multi Hidden Nodes, Multi METRIC, Condense size, Condense METRIC, K-Means METRIC, K-Metroids METRIC
0,0,[],0.7590361445783133,381,0.1746987951807229,0,0.7590361445783133,0.1746987951807229
1,0,[],0.6666666666666666,362,0.6666666666666666,0,0.6666666666666666,0.6666666666666666
2,0,[],0.6839080459770115,390,0.6839080459770115,0,0.6839080459770115,0.6839080459770115
3,0,[],0.7272727272727273,407,0.7272727272727273,0,0.7272727272727273,0.7272727272727273
4,0,[],0.6949152542372882,402,0.6949152542372882,0,0.6949152542372882,0.6949152542372882
5,0,[],0.6740331491712708,418,0.6740331491712708,0,0.6740331491712708,0.6740331491712708
6,0,[],0.7647058823529411,419,0.1411764705882353,0,0.7647058823529411,0.7647058823529411
7,0,[],0.7417218543046358,440,0.7417218543046358,0,0.7417218543046358,0.7417218543046358
8,0,[],0.6516129032258065,436,0.25806451612903225,0,0.6516129032258065,0.6516129032258065
9,0,[],0.6742857142857143,433,0.6742857142857143,0,0.6742857142857143,0.6742857142857143
