fold, Multi Hidden Layers, Multi Hidden Nodes, Multi METRIC, Condense size, Condense METRIC, K-Means METRIC, K-Metroids METRIC
0,0,[],0.17114914425427874,2988,0.12469437652811736,0,0.15647921760391198,0.15647921760391198
1,0,[],0.16267942583732056,2978,0.09090909090909091,0,0.09090909090909091,0.09090909090909091
2,0,[],0.1864864864864865,3017,0.13783783783783785,0,0.13243243243243244,0.13243243243243244
3,0,[],0.18509615384615385,3005,0.08413461538461539,0,0.13942307692307693,0.13942307692307693
4,0,[],0.15330188679245282,3032,0.15330188679245282,0,0.15330188679245282,0.15330188679245282
5,0,[],0.14388489208633093,2986,0.12470023980815348,0,0.14388489208633093,0.14388489208633093
6,0,[],0.16705882352941176,2986,0.12470588235294118,0,0.14823529411764705,0.14823529411764705
7,0,[],0.18491484184914841,3034,0.09732360097323602,0,0.09732360097323602,0.1435523114355231
8,0,[],0.17424242424242425,3033,0.12121212121212122,0,0.12121212121212122,0.12121212121212122
9,0,[],0.13876651982378854,2995,0.13876651982378854,0,0.15418502202643172,0.15418502202643172
