fold, Multi Hidden Layers, Multi Hidden Nodes, Multi METRIC, Condense size, Condense METRIC, K-Means METRIC, K-Metroids METRIC
0,0,[],0.6842105263157895,425,0.6842105263157895,0,0.6842105263157895,0.6842105263157895
1,0,[],0.7080745341614907,395,0.20496894409937888,0,0.7080745341614907,0.20496894409937888
2,0,[],0.6891891891891891,397,0.6891891891891891,0,0.6891891891891891,0.6891891891891891
3,0,[],0.6628571428571428,382,0.6628571428571428,0,0.6628571428571428,0.6628571428571428
4,0,[],0.7121212121212122,395,0.7121212121212122,0,0.7121212121212122,0.7121212121212122
5,0,[],0.7142857142857143,426,0.2057142857142857,0,0.7142857142857143,0.7142857142857143
6,0,[],0.7900552486187845,416,0.7900552486187845,0,0.7900552486187845,0.7900552486187845
7,0,[],0.6514285714285715,419,0.6514285714285715,0,0.6514285714285715,0.6514285714285715
8,0,[],0.7048192771084337,426,0.7048192771084337,0,0.7048192771084337,0.7048192771084337
9,0,[],0.6900584795321637,430,0.2046783625730994,0,0.6900584795321637,0.6900584795321637
