fold, Multi Hidden Layers, Multi Hidden Nodes, Multi METRIC, Condense size, Condense METRIC, K-Means METRIC, K-Metroids METRIC
0,0,[],0.08333333333333333,60,0.16666666666666666,0,0.16666666666666666,0.08333333333333333
1,0,[],0.21052631578947367,73,0.05263157894736842,0,0.05263157894736842,0.05263157894736842
2,0,[],0.25,76,0.125,0,0.125,0.08333333333333333
3,0,[],0.21739130434782608,88,0.17391304347826086,0,0.17391304347826086,0.17391304347826086
4,0,[],0.047619047619047616,87,0.0,0,0.23809523809523808,0.0
5,0,[],0.2727272727272727,99,0.2727272727272727,0,0.09090909090909091,0.2727272727272727
6,0,[],0.17647058823529413,102,0.11764705882352941,0,0.11764705882352941,0.11764705882352941
7,0,[],0.08,99,0.12,0,0.12,0.12
8,0,[],0.0,102,0.09523809523809523,0,0.38095238095238093,0.047619047619047616
9,0,[],0.08695652173913043,113,0.17391304347826086,0,0.17391304347826086,0.17391304347826086
