fold, Multi Hidden Layers, Multi Hidden Nodes, Multi METRIC, Condense size, Condense METRIC, K-Means METRIC, K-Metroids METRIC
0,2,[11, 26],91.43271830332151,369,101.64652558139538,0,101.64652558139538,101.01443402879141
1,2,[11, 26],605.3128333092608,369,635.3526720930239,0,636.7647651162781,635.3526720930239
2,2,[11, 26],1273.0703108161679,379,1338.8204451612905,0,1341.5855419354841,1338.6162808927254
3,2,[11, 26],599.9818935585125,348,NaN,0,656.156592592592,588.6428792529542
4,2,[11, 26],795.9076836637805,356,834.1988140350878,0,835.9261473684213,834.1988140136122
5,2,[11, 8],10680.255562808285,359,10923.397085964916,0,10928.634208771931,10923.396459480979
6,2,[11, 8],111.34044291998032,374,140.84281304347823,0,141.94055217391306,140.84279338639172
7,2,[14, 11],23703.73283278972,363,23848.203260000002,0,23853.30037935679,23846.038470538035
8,2,[17, 11],824.59021022145,354,878.3950703703705,0,880.5169962962968,878.3950703703705
9,2,[26, 5],2223.8678781293816,362,2300.667337500001,0,2300.667337500001,2297.8286457572467
